Video Path,True Label,Predicted Label,Confidence
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000515_1_N.mp4",Normal,Accident,0.6522
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000515_4_N.mp4",Normal,Accident,0.7432
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000516_1_N.mp4",Normal,Accident,0.7011
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000516_2_N.mp4",Normal,Accident,0.6575
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000567_1_N.mp4",Normal,Accident,0.7139
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000567_2_N.mp4",Normal,Accident,0.6924
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000585_1_N.mp4",Normal,Accident,0.6172
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000585_2_N.mp4",Normal,Accident,0.6156
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000589_1_N.mp4",Normal,Accident,0.6663
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000589_2_N.mp4",Normal,Accident,0.6427
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000589_4_N.mp4",Normal,Accident,0.6208
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/000600_2_N.mp4",Normal,Accident,0.5580
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_25_N.mp4",Normal,Accident,0.5422
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_26_N.mp4",Normal,Accident,0.5133
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_2_N.mp4",Normal,Accident,0.5521
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_6_N.mp4",Normal,Accident,0.5612
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_5_N.mp4",Normal,Accident,0.5635
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_7_N.mp4",Normal,Accident,0.5711
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_8_N.mp4",Normal,Accident,0.5174
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_10_N.mp4",Normal,Accident,0.6332
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_11_N.mp4",Normal,Accident,0.6477
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_12_N.mp4",Normal,Accident,0.6524
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_1_N.mp4",Normal,Accident,0.5412
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_13_N.mp4",Normal,Accident,0.6446
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_14_N.mp4",Normal,Accident,0.6574
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_15_N.mp4",Normal,Accident,0.6425
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_22_N.mp4",Normal,Accident,0.5049
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_18_N.mp4",Normal,Accident,0.6317
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_23_N.mp4",Normal,Accident,0.5225
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_19_N.mp4",Normal,Accident,0.6436
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_24_N.mp4",Normal,Accident,0.5331
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_16_N.mp4",Normal,Accident,0.6312
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_1_N.mp4",Normal,Accident,0.6418
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_17_N.mp4",Normal,Accident,0.6256
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/23OTS-2_-_Cam_Input_01_-_08-01-21_223800_XVID_100_N.mp4",Normal,Accident,0.5391
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_20_N.mp4",Normal,Accident,0.6419
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_21_N.mp4",Normal,Accident,0.6378
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_22_N.mp4",Normal,Accident,0.6376
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_23_N.mp4",Normal,Accident,0.6299
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_24_N.mp4",Normal,Accident,0.6260
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_25_N.mp4",Normal,Accident,0.5975
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_26_N.mp4",Normal,Accident,0.6211
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_2_N.mp4",Normal,Accident,0.6619
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_5_N.mp4",Normal,Accident,0.6414
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_6_N.mp4",Normal,Accident,0.6627
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_7_N.mp4",Normal,Accident,0.6685
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_8_N.mp4",Normal,Accident,0.6514
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_01-05-22_042304_XVID_9_N.mp4",Normal,Accident,0.6415
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_15_N.mp4",Normal,Accident,0.5008
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Normal/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_16_N.mp4",Normal,Accident,0.5097
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/000516_3_A_flip.mp4",Accident,Normal,0.5183
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/000600_3_A_flip.mp4",Accident,Normal,0.5468
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/000600_4_A_flip.mp4",Accident,Normal,0.5221
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_3_A_flip.mp4",Accident,Normal,0.5860
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/23OTS-2_-_Cam_Input_01_-_08-01-21_223800_XVID_15_A_bright.mp4",Accident,Normal,0.5157
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04NGOVTHOSTEL-2_-_Cam_Input_01_-_01-05-22_042304_XVID_4_A_flip.mp4",Accident,Normal,0.5761
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_6_A.mp4",Accident,Normal,0.5944
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_6_A_bright.mp4",Accident,Normal,0.5324
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_6_A_flip.mp4",Accident,Normal,0.5324
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_6_A_shift_left.mp4",Accident,Normal,0.6317
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_7_A.mp4",Accident,Normal,0.5572
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_7_A_flip.mp4",Accident,Normal,0.5290
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_7_A_shift_left.mp4",Accident,Normal,0.5598
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_8_A.mp4",Accident,Normal,0.5365
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_8_A_shift_left.mp4",Accident,Normal,0.5135
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_9_A.mp4",Accident,Normal,0.5841
"/home/23ucs623/accident/NiAD_Large_Videos/Testing/Accident/04wGOVTHOSTEL_-_Cam_Input_01_-_11-10-19_045345_XVID_9_A_bright.mp4",Accident,Normal,0.5492
